,PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
5967,Justin Jackson,PF,-,-,-,-,-,-
5968,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
5969,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
5970,Kevin Knox,SF,-,-,-,-,-,-
5971,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
5972,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
5973,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
5974,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
5975,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
5976,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
5977,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
5978,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
5979,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
